Pressione, Can A, Raccolta #3
Tempo ( s )	Pressione ( kPa )
83,4000	1,87994
83,5000	1,88482
83,6000	1,87994
83,7000	1,88482
83,8000	1,88482
83,9000	1,88482
84,0000	1,87994
84,1000	1,88482
84,2000	1,88482
84,3000	1,88482
84,4000	1,87994
84,5000	1,88482
84,6000	1,88482
84,7000	1,88482
84,8000	1,88482
84,9000	1,88482
85,0000	1,88482
85,1000	1,87994
85,2000	1,88482
85,3000	1,87994
85,4000	1,87994
85,5000	1,88482
85,6000	1,87994
85,7000	1,88482
85,8000	1,88482
85,9000	1,88482
86,0000	1,87994
86,1000	1,88482
86,2000	1,87994
86,3000	1,88482
86,4000	1,88482
86,5000	1,88482
86,6000	1,87994
86,7000	1,88482
86,8000	1,88482
86,9000	1,87994
87,0000	1,87994
87,1000	1,88482
87,2000	1,87994
87,3000	1,88482
87,4000	1,87994
87,5000	1,87994
87,6000	1,87994
87,7000	1,88482
87,8000	1,88482
87,9000	1,87994
88,0000	1,87994
88,1000	1,88482
88,2000	1,87994
88,3000	1,87506
88,4000	1,87994
88,5000	1,88482
88,6000	1,87994
88,7000	1,87994
88,8000	1,88482
88,9000	1,87994
89,0000	1,87994
89,1000	1,87994
89,2000	1,87994
89,3000	1,87506
89,4000	1,87994
89,5000	1,87994
89,6000	1,87506
89,7000	1,87994
89,8000	1,87994
89,9000	1,88482
90,0000	1,88482
90,1000	1,88482
90,2000	1,87994
90,3000	1,87994
90,4000	1,87994
90,5000	1,87994
90,6000	1,87994
90,7000	1,87994
90,8000	1,87994
90,9000	1,88482
91,0000	1,87994
91,1000	1,87994
91,2000	1,87994
91,3000	1,87506
91,4000	1,87994
91,5000	1,87994
91,6000	1,87994
91,7000	1,88482
91,8000	1,87994
91,9000	1,88482
92,0000	1,87994
92,1000	1,87994
92,2000	1,87994
92,3000	1,87506
92,4000	1,87994
92,5000	1,87994
92,6000	1,87994
92,7000	1,87994
92,8000	1,87994
92,9000	1,87506
93,0000	1,87994
93,1000	1,87994
93,2000	1,87994
93,3000	1,88482
93,4000	1,87994
93,5000	1,87506
93,6000	1,87994
93,7000	1,87506
93,8000	1,88482
93,9000	1,87506
94,0000	1,87994
94,1000	1,88482
94,2000	1,87994
94,3000	1,87506
94,4000	1,87994
94,5000	1,87506
94,6000	1,87994
94,7000	1,87506
94,8000	1,87994
94,9000	1,87506
95,0000	1,87994
95,1000	1,87994
95,2000	1,87994
95,3000	1,87994
95,4000	1,87994
95,5000	1,87506
95,6000	1,87994
95,7000	1,88482
95,8000	1,87994
95,9000	1,87994
96,0000	1,87994
96,1000	1,87994
96,2000	1,87994
96,3000	1,87506
96,4000	1,87994
96,5000	1,88482
96,6000	1,87994
96,7000	1,87506
96,8000	1,87994
96,9000	1,87994
97,0000	1,87994
97,1000	1,87506
97,2000	1,87994
97,3000	1,87506
97,4000	1,87994
97,5000	1,87994
97,6000	1,87994
97,7000	1,87994
97,8000	1,87994
97,9000	1,87506
98,0000	1,87994
98,1000	1,87994
98,2000	1,87994
98,3000	1,87994
98,4000	1,87994
98,5000	1,88482
98,6000	1,87994
98,7000	1,87506
98,8000	1,87506
98,9000	1,87506
99,0000	1,87994
99,1000	1,87506
99,2000	1,87994
99,3000	1,87994
99,4000	1,87994
99,5000	1,87506
99,6000	1,87994
99,7000	1,87506
99,8000	1,87994
99,9000	1,87506
100,0000	1,87994
100,1000	1,87506
100,2000	1,87994
100,3000	1,87994
100,4000	1,87994
100,5000	1,87506
100,6000	1,87994
100,7000	1,87506
100,8000	1,87994
100,9000	1,87506
101,0000	1,87994
101,1000	1,87506
101,2000	1,87994
101,3000	1,87506
101,4000	1,87994
101,5000	1,87506
101,6000	1,87994
101,7000	1,87506
101,8000	1,87994
101,9000	1,87506
102,0000	1,87506
102,1000	1,87506
102,2000	1,87994
102,3000	1,87506
102,4000	1,87506
102,5000	1,87506
102,6000	1,87994
102,7000	1,87506
