Pressione, Can A, Raccolta #5
Tempo ( s )	Pressione ( kPa )
72,7000	3,24717
72,8000	3,24717
72,9000	3,24717
73,0000	3,24717
73,1000	3,24717
73,2000	3,24717
73,3000	3,24717
73,4000	3,24717
73,5000	3,24717
73,6000	3,24717
73,7000	3,24229
73,8000	3,24717
73,9000	3,24229
74,0000	3,24717
74,1000	3,24717
74,2000	3,24229
74,3000	3,24717
74,4000	3,24717
74,5000	3,24229
74,6000	3,24717
74,7000	3,24717
74,8000	3,24717
74,9000	3,24717
75,0000	3,24717
75,1000	3,24717
75,2000	3,25205
75,3000	3,24717
75,4000	3,24717
75,5000	3,24717
75,6000	3,24717
75,7000	3,24717
75,8000	3,24717
75,9000	3,24717
76,0000	3,24229
76,1000	3,24717
76,2000	3,24717
76,3000	3,24717
76,4000	3,24717
76,5000	3,24717
76,6000	3,24717
76,7000	3,24717
76,8000	3,24717
76,9000	3,24717
77,0000	3,24717
77,1000	3,24717
77,2000	3,24717
77,3000	3,24717
77,4000	3,24717
77,5000	3,24717
77,6000	3,24717
77,7000	3,24717
77,8000	3,24717
77,9000	3,24717
78,0000	3,25205
78,1000	3,24717
78,2000	3,24717
78,3000	3,24717
78,4000	3,25205
78,5000	3,24717
78,6000	3,24717
78,7000	3,24717
78,8000	3,24229
78,9000	3,24717
79,0000	3,24717
79,1000	3,24717
79,2000	3,24717
79,3000	3,24717
79,4000	3,24229
79,5000	3,24717
79,6000	3,24717
79,7000	3,24717
79,8000	3,24717
79,9000	3,24717
80,0000	3,24717
80,1000	3,24717
80,2000	3,24717
80,3000	3,24717
80,4000	3,24229
80,5000	3,24717
80,6000	3,24717
80,7000	3,24717
80,8000	3,24717
80,9000	3,24717
81,0000	3,24229
81,1000	3,24717
81,2000	3,24717
81,3000	3,24229
81,4000	3,24717
81,5000	3,24717
81,6000	3,24717
81,7000	3,24229
81,8000	3,24229
81,9000	3,24717
82,0000	3,24229
82,1000	3,24717
82,2000	3,24717
82,3000	3,24229
82,4000	3,24229
82,5000	3,24229
82,6000	3,24717
82,7000	3,24717
82,8000	3,24229
82,9000	3,24229
83,0000	3,24717
83,1000	3,24717
83,2000	3,24229
83,3000	3,24229
83,4000	3,24717
83,5000	3,24717
83,6000	3,24717
83,7000	3,24229
83,8000	3,24229
83,9000	3,24229
84,0000	3,24717
84,1000	3,24229
84,2000	3,24229
84,3000	3,24229
84,4000	3,24229
84,5000	3,24229
84,6000	3,24229
84,7000	3,24229
84,8000	3,24717
84,9000	3,24229
85,0000	3,24717
85,1000	3,24717
85,2000	3,24229
85,3000	3,24229
85,4000	3,24717
85,5000	3,24717
85,6000	3,24229
85,7000	3,24229
85,8000	3,24717
85,9000	3,24229
86,0000	3,24229
86,1000	3,24717
86,2000	3,24717
86,3000	3,24717
86,4000	3,24717
86,5000	3,24717
86,6000	3,24717
86,7000	3,24717
86,8000	3,24229
86,9000	3,24717
87,0000	3,24717
87,1000	3,24717
87,2000	3,24717
87,3000	3,24717
87,4000	3,24717
87,5000	3,24717
87,6000	3,24717
87,7000	3,24717
87,8000	3,24229
87,9000	3,24717
88,0000	3,24717
88,1000	3,24229
88,2000	3,24717
88,3000	3,24717
88,4000	3,24717
88,5000	3,24717
88,6000	3,24229
88,7000	3,24717
88,8000	3,25205
88,9000	3,24717
89,0000	3,24717
89,1000	3,24717
89,2000	3,24717
89,3000	3,24717
89,4000	3,25205
89,5000	3,24717
89,6000	3,24717
89,7000	3,24717
89,8000	3,24717
89,9000	3,24717
90,0000	3,24717
90,1000	3,24717
90,2000	3,24229
90,3000	3,24717
90,4000	3,24717
90,5000	3,24229
90,6000	3,24717
90,7000	3,24717
90,8000	3,24717
90,9000	3,24717
91,0000	3,24717
91,1000	3,24717
91,2000	3,24717
91,3000	3,24717
91,4000	3,24717
91,5000	3,24717
91,6000	3,24717
91,7000	3,24717
91,8000	3,24717
91,9000	3,24229
92,0000	3,24717
92,1000	3,24717
92,2000	3,24717
92,3000	3,24717
92,4000	3,24717
92,5000	3,24717
92,6000	3,24717
92,7000	3,24717
92,8000	3,24717
92,9000	3,24717
93,0000	3,24717
93,1000	3,25205
93,2000	3,24717
93,3000	3,25205
93,4000	3,25205
93,5000	3,24717
93,6000	3,24717
93,7000	3,24717
93,8000	3,24717
93,9000	3,24717
94,0000	3,24717
94,1000	3,24717
94,2000	3,24717
94,3000	3,24717
94,4000	3,24717
94,5000	3,24717
94,6000	3,24717
94,7000	3,24717
94,8000	3,24717
94,9000	3,24717
95,0000	3,24717
95,1000	3,24717
95,2000	3,24717
95,3000	3,24717
95,4000	3,24717
95,5000	3,24717
95,6000	3,24717
95,7000	3,24717
95,8000	3,25205
95,9000	3,24717
96,0000	3,24717
96,1000	3,24717
96,2000	3,24717
96,3000	3,24229
96,4000	3,24717
96,5000	3,24717
96,6000	3,24717
96,7000	3,25205
96,8000	3,25205
96,9000	3,24717
97,0000	3,25205
97,1000	3,24717
97,2000	3,24229
97,3000	3,25205
97,4000	3,24717
97,5000	3,24717
97,6000	3,25205
97,7000	3,25205
97,8000	3,25205
97,9000	3,25205
98,0000	3,24717
98,1000	3,25205
98,2000	3,25205
98,3000	3,24717
98,4000	3,24717
98,5000	3,25205
98,6000	3,25205
98,7000	3,25205
98,8000	3,24717
98,9000	3,24717
99,0000	3,25205
99,1000	3,24717
99,2000	3,25205
99,3000	3,25205
99,4000	3,24717
99,5000	3,24717
99,6000	3,25205
99,7000	3,24717
99,8000	3,24717
99,9000	3,24717
100,0000	3,24717
100,1000	3,24717
100,2000	3,24717
100,3000	3,24717
100,4000	3,24717
