Pressione, Can A, Raccolta #7
Tempo ( s )	Pressione ( kPa )
121,3000	5,17594
121,4000	5,17106
121,5000	5,17106
121,6000	5,17106
121,7000	5,17106
121,8000	5,17106
121,9000	5,17106
122,0000	5,17106
122,1000	5,17106
122,2000	5,17106
122,3000	5,17106
122,4000	5,17106
122,5000	5,17106
122,6000	5,17106
122,7000	5,17594
122,8000	5,17106
122,9000	5,17106
123,0000	5,17106
123,1000	5,17106
123,2000	5,17106
123,3000	5,17106
123,4000	5,17106
123,5000	5,17594
123,6000	5,17594
123,7000	5,17106
123,8000	5,17106
123,9000	5,17106
124,0000	5,17106
124,1000	5,17594
124,2000	5,17106
124,3000	5,17106
124,4000	5,17594
124,5000	5,17106
124,6000	5,17106
124,7000	5,17106
124,8000	5,17106
124,9000	5,17106
125,0000	5,17106
125,1000	5,17106
125,2000	5,17106
125,3000	5,17594
125,4000	5,17106
125,5000	5,17106
125,6000	5,17106
125,7000	5,17106
125,8000	5,17106
125,9000	5,17106
126,0000	5,17106
126,1000	5,17106
126,2000	5,17106
126,3000	5,17106
126,4000	5,17106
126,5000	5,17106
126,6000	5,17106
126,7000	5,17106
126,8000	5,17106
126,9000	5,17106
127,0000	5,17106
127,1000	5,17106
127,2000	5,17106
127,3000	5,17106
127,4000	5,17106
127,5000	5,17106
127,6000	5,17106
127,7000	5,17106
127,8000	5,17106
127,9000	5,17106
128,0000	5,17106
128,1000	5,17106
128,2000	5,17106
128,3000	5,17106
128,4000	5,17106
128,5000	5,17106
128,6000	5,17106
128,7000	5,17106
128,8000	5,17106
128,9000	5,17106
129,0000	5,17106
129,1000	5,17106
