Temperatura. Can B ( C )	Posizione. Can 1 e 2 ( m )
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.31699	2.50000E-4
27.41032	2.50000E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.36364	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.41032	3.12500E-4
27.31699	3.12500E-4
27.31699	3.12500E-4
