Posizione, Can 1 e 2, Raccolta #13
Tempo ( s )	Posizione ( m )
42,3000	-0,00125
42,4000	-0,00125
42,5000	-0,00125
42,6000	-0,00125
42,7000	-0,00125
42,8000	-0,00125
42,9000	-0,00125
43,0000	-0,00125
43,1000	-0,00125
43,2000	-0,00125
43,3000	-0,00125
43,4000	-0,00131
43,5000	-0,00131
43,6000	-0,00131
43,7000	-0,00131
43,8000	-0,00131
43,9000	-0,00131
44,0000	-0,00131
44,1000	-0,00131
44,2000	-0,00131
44,3000	-0,00131
44,4000	-0,00131
44,5000	-0,00131
44,6000	-0,00131
44,7000	-0,00131
44,8000	-0,00131
44,9000	-0,00131
45,0000	-0,00131
45,1000	-0,00137
45,2000	-0,00137
45,3000	-0,00137
45,4000	-0,00137
45,5000	-0,00137
45,6000	-0,00137
45,7000	-0,00137
45,8000	-0,00137
45,9000	-0,00137
46,0000	-0,00137
46,1000	-0,00137
46,2000	-0,00137
46,3000	-0,00137
46,4000	-0,00137
46,5000	-0,00137
46,6000	-0,00137
46,7000	-0,00137
46,8000	-0,00137
46,9000	-0,00137
47,0000	-0,00137
47,1000	-0,00137
47,2000	-0,00137
47,3000	-0,00137
47,4000	-0,00144
47,5000	-0,00144
47,6000	-0,00144
47,7000	-0,00144
47,8000	-0,00144
47,9000	-0,00144
48,0000	-0,00144
48,1000	-0,00144
48,2000	-0,00144
48,3000	-0,00144
48,4000	-0,00144
48,5000	-0,00144
48,6000	-0,00144
48,7000	-0,00144
48,8000	-0,00144
48,9000	-0,00144
49,0000	-0,00144
49,1000	-0,00144
49,2000	-0,00144
49,3000	-0,00144
49,4000	-0,00144
49,5000	-0,00150
49,6000	-0,00150
49,7000	-0,00150
49,8000	-0,00150
49,9000	-0,00150
50,0000	-0,00150
50,1000	-0,00150
50,2000	-0,00150
50,3000	-0,00150
50,4000	-0,00150
50,5000	-0,00150
50,6000	-0,00150
50,7000	-0,00150
50,8000	-0,00150
50,9000	-0,00150
51,0000	-0,00150
51,1000	-0,00150
51,2000	-0,00150
51,3000	-0,00150
51,4000	-0,00150
51,5000	-0,00156
51,6000	-0,00156
51,7000	-0,00156
51,8000	-0,00156
51,9000	-0,00156
52,0000	-0,00156
52,1000	-0,00156
52,2000	-0,00156
52,3000	-0,00156
52,4000	-0,00156
52,5000	-0,00156
52,6000	-0,00156
52,7000	-0,00156
52,8000	-0,00156
52,9000	-0,00156
53,0000	-0,00156
53,1000	-0,00162
53,2000	-0,00162
53,3000	-0,00162
53,4000	-0,00162
53,5000	-0,00162
53,6000	-0,00162
53,7000	-0,00162
53,8000	-0,00162
53,9000	-0,00162
54,0000	-0,00162
54,1000	-0,00162
54,2000	-0,00162
54,3000	-0,00162
54,4000	-0,00162
54,5000	-0,00162
54,6000	-0,00162
54,7000	-0,00162
54,8000	-0,00162
54,9000	-0,00162
55,0000	-0,00162
55,1000	-0,00162
55,2000	-0,00162
55,3000	-0,00162
55,4000	-0,00162
55,5000	-0,00162
55,6000	-0,00162
55,7000	-0,00169
55,8000	-0,00169
55,9000	-0,00169
56,0000	-0,00169
56,1000	-0,00169
56,2000	-0,00169
56,3000	-0,00169
56,4000	-0,00169
56,5000	-0,00169
56,6000	-0,00169
56,7000	-0,00169
56,8000	-0,00169
56,9000	-0,00169
57,0000	-0,00169
57,1000	-0,00169
57,2000	-0,00169
57,3000	-0,00169
57,4000	-0,00169
57,5000	-0,00169
57,6000	-0,00169
57,7000	-0,00175
57,8000	-0,00175
57,9000	-0,00175
58,0000	-0,00175
58,1000	-0,00175
58,2000	-0,00175
58,3000	-0,00175
58,4000	-0,00175
58,5000	-0,00175
58,6000	-0,00175
58,7000	-0,00175
58,8000	-0,00175
58,9000	-0,00175
59,0000	-0,00175
59,1000	-0,00175
59,2000	-0,00175
59,3000	-0,00175
59,4000	-0,00175
59,5000	-0,00175
59,6000	-0,00181
59,7000	-0,00181
59,8000	-0,00181
59,9000	-0,00181
60,0000	-0,00181
60,1000	-0,00181
60,2000	-0,00181
60,3000	-0,00181
60,4000	-0,00181
60,5000	-0,00181
60,6000	-0,00181
60,7000	-0,00181
60,8000	-0,00181
60,9000	-0,00181
61,0000	-0,00181
61,1000	-0,00181
61,2000	-0,00181
61,3000	-0,00181
61,4000	-0,00181
61,5000	-0,00181
61,6000	-0,00181
61,7000	-0,00187
61,8000	-0,00187
61,9000	-0,00187
62,0000	-0,00187
62,1000	-0,00187
62,2000	-0,00187
62,3000	-0,00187
62,4000	-0,00187
62,5000	-0,00187
62,6000	-0,00187
62,7000	-0,00187
62,8000	-0,00187
62,9000	-0,00187
63,0000	-0,00187
63,1000	-0,00187
63,2000	-0,00187
63,3000	-0,00187
63,4000	-0,00187
63,5000	-0,00187
63,6000	-0,00187
63,7000	-0,00187
63,8000	-0,00187
63,9000	-0,00194
64,0000	-0,00194
64,1000	-0,00194
64,2000	-0,00194
64,3000	-0,00194
64,4000	-0,00194
64,5000	-0,00194
64,6000	-0,00194
64,7000	-0,00194
64,8000	-0,00194
64,9000	-0,00194
65,0000	-0,00194
65,1000	-0,00194
65,2000	-0,00194
65,3000	-0,00194
65,4000	-0,00194
65,5000	-0,00194
65,6000	-0,00194
65,7000	-0,00194
65,8000	-0,00200
65,9000	-0,00200
66,0000	-0,00200
66,1000	-0,00200
66,2000	-0,00200
66,3000	-0,00200
66,4000	-0,00200
66,5000	-0,00200
66,6000	-0,00200
66,7000	-0,00200
66,8000	-0,00200
66,9000	-0,00200
67,0000	-0,00200
67,1000	-0,00200
67,2000	-0,00200
67,3000	-0,00200
67,4000	-0,00200
67,5000	-0,00200
67,6000	-0,00200
67,7000	-0,00206
67,8000	-0,00206
67,9000	-0,00206
68,0000	-0,00206
68,1000	-0,00206
68,2000	-0,00206
68,3000	-0,00206
68,4000	-0,00206
68,5000	-0,00206
68,6000	-0,00206
68,7000	-0,00206
68,8000	-0,00206
68,9000	-0,00206
69,0000	-0,00206
69,1000	-0,00206
69,2000	-0,00206
69,3000	-0,00206
69,4000	-0,00206
69,5000	-0,00206
69,6000	-0,00206
69,7000	-0,00212
69,8000	-0,00212
69,9000	-0,00212
70,0000	-0,00212
70,1000	-0,00212
70,2000	-0,00212
70,3000	-0,00212
70,4000	-0,00212
70,5000	-0,00212
70,6000	-0,00212
70,7000	-0,00212
70,8000	-0,00212
70,9000	-0,00212
71,0000	-0,00212
71,1000	-0,00212
71,2000	-0,00212
71,3000	-0,00212
71,4000	-0,00212
71,5000	-0,00212
71,6000	-0,00212
71,7000	-0,00212
71,8000	-0,00212
71,9000	-0,00219
72,0000	-0,00219
72,1000	-0,00219
72,2000	-0,00219
72,3000	-0,00219
72,4000	-0,00219
72,5000	-0,00219
72,6000	-0,00219
72,7000	-0,00219
72,8000	-0,00219
72,9000	-0,00219
73,0000	-0,00219
73,1000	-0,00219
73,2000	-0,00219
73,3000	-0,00219
73,4000	-0,00219
73,5000	-0,00219
73,6000	-0,00219
73,7000	-0,00219
73,8000	-0,00219
73,9000	-0,00219
74,0000	-0,00219
74,1000	-0,00219
74,2000	-0,00219
74,3000	-0,00225
74,4000	-0,00225
74,5000	-0,00225
74,6000	-0,00225
74,7000	-0,00225
74,8000	-0,00225
74,9000	-0,00225
75,0000	-0,00225
75,1000	-0,00225
75,2000	-0,00225
75,3000	-0,00225
75,4000	-0,00225
75,5000	-0,00225
75,6000	-0,00225
75,7000	-0,00225
75,8000	-0,00225
75,9000	-0,00225
76,0000	-0,00225
76,1000	-0,00225
76,2000	-0,00225
76,3000	-0,00225
76,4000	-0,00225
76,5000	-0,00231
76,6000	-0,00231
76,7000	-0,00231
76,8000	-0,00231
76,9000	-0,00231
77,0000	-0,00231
77,1000	-0,00231
77,2000	-0,00231
77,3000	-0,00231
77,4000	-0,00231
77,5000	-0,00231
77,6000	-0,00231
77,7000	-0,00231
77,8000	-0,00231
77,9000	-0,00231
78,0000	-0,00231
78,1000	-0,00231
78,2000	-0,00231
78,3000	-0,00237
78,4000	-0,00237
78,5000	-0,00237
78,6000	-0,00237
78,7000	-0,00237
78,8000	-0,00237
78,9000	-0,00237
79,0000	-0,00237
79,1000	-0,00237
79,2000	-0,00237
79,3000	-0,00237
79,4000	-0,00237
79,5000	-0,00237
79,6000	-0,00237
79,7000	-0,00237
79,8000	-0,00237
79,9000	-0,00237
80,0000	-0,00237
80,1000	-0,00237
80,2000	-0,00244
80,3000	-0,00244
80,4000	-0,00244
80,5000	-0,00244
80,6000	-0,00244
80,7000	-0,00244
80,8000	-0,00244
80,9000	-0,00244
81,0000	-0,00244
81,1000	-0,00244
81,2000	-0,00244
81,3000	-0,00244
81,4000	-0,00244
81,5000	-0,00244
81,6000	-0,00244
81,7000	-0,00244
81,8000	-0,00244
81,9000	-0,00244
82,0000	-0,00244
82,1000	-0,00244
82,2000	-0,00244
82,3000	-0,00244
82,4000	-0,00250
82,5000	-0,00250
82,6000	-0,00250
82,7000	-0,00250
82,8000	-0,00250
82,9000	-0,00250
83,0000	-0,00250
83,1000	-0,00250
83,2000	-0,00250
83,3000	-0,00250
83,4000	-0,00250
83,5000	-0,00250
83,6000	-0,00250
83,7000	-0,00250
83,8000	-0,00250
83,9000	-0,00250
84,0000	-0,00250
84,1000	-0,00250
84,2000	-0,00250
84,3000	-0,00250
84,4000	-0,00250
84,5000	-0,00250
84,6000	-0,00256
84,7000	-0,00256
84,8000	-0,00256
84,9000	-0,00256
85,0000	-0,00256
85,1000	-0,00256
85,2000	-0,00256
85,3000	-0,00256
85,4000	-0,00256
85,5000	-0,00256
85,6000	-0,00256
85,7000	-0,00256
85,8000	-0,00256
85,9000	-0,00256
86,0000	-0,00256
86,1000	-0,00256
86,2000	-0,00256
86,3000	-0,00256
86,4000	-0,00256
86,5000	-0,00256
86,6000	-0,00256
86,7000	-0,00262
86,8000	-0,00262
86,9000	-0,00262
87,0000	-0,00262
87,1000	-0,00262
87,2000	-0,00262
87,3000	-0,00262
87,4000	-0,00262
87,5000	-0,00262
87,6000	-0,00262
87,7000	-0,00262
87,8000	-0,00262
87,9000	-0,00262
88,0000	-0,00262
88,1000	-0,00262
88,2000	-0,00262
88,3000	-0,00262
88,4000	-0,00262
88,5000	-0,00262
88,6000	-0,00262
88,7000	-0,00262
88,8000	-0,00262
88,9000	-0,00262
89,0000	-0,00269
89,1000	-0,00269
89,2000	-0,00269
89,3000	-0,00269
89,4000	-0,00269
89,5000	-0,00269
89,6000	-0,00269
89,7000	-0,00269
89,8000	-0,00269
89,9000	-0,00269
90,0000	-0,00269
90,1000	-0,00269
90,2000	-0,00269
90,3000	-0,00269
90,4000	-0,00269
90,5000	-0,00269
90,6000	-0,00269
90,7000	-0,00269
90,8000	-0,00269
90,9000	-0,00269
91,0000	-0,00269
91,1000	-0,00269
91,2000	-0,00275
91,3000	-0,00275
91,4000	-0,00275
91,5000	-0,00275
91,6000	-0,00275
