Temperatura, Can B, Raccolta #2
Tempo ( s )	Temperatura ( °C )
78,8000	42,49076
78,9000	42,55319
79,0000	42,36618
79,1000	42,49076
79,2000	42,49076
79,3000	42,49076
79,4000	42,36618
79,5000	42,49076
79,6000	42,36618
79,7000	42,36618
79,8000	42,36618
79,9000	42,36618
80,0000	42,36618
80,1000	42,36618
80,2000	42,24196
80,3000	42,30402
80,4000	42,24196
80,5000	42,24196
80,6000	42,11812
80,7000	42,24196
80,8000	42,11812
80,9000	42,24196
81,0000	42,11812
81,1000	42,24196
81,2000	42,11812
81,3000	42,11812
81,4000	42,11812
81,5000	42,11812
81,6000	42,11812
81,7000	42,11812
81,8000	42,11812
81,9000	42,05633
82,0000	41,99463
82,1000	42,05633
82,2000	41,87150
82,3000	42,05633
82,4000	41,99463
82,5000	41,99463
82,6000	41,87150
82,7000	41,93302
82,8000	41,87150
82,9000	41,87150
83,0000	41,87150
83,1000	41,87150
83,2000	41,87150
83,3000	41,87150
83,4000	41,74873
83,5000	41,81007
83,6000	41,74873
83,7000	41,74873
83,8000	41,74873
83,9000	41,74873
84,0000	41,62631
84,1000	41,68748
84,2000	41,62631
84,3000	41,68748
84,4000	41,62631
84,5000	41,62631
84,6000	41,62631
84,7000	41,62631
84,8000	41,50424
84,9000	41,56524
85,0000	41,50424
85,1000	41,56524
85,2000	41,38252
85,3000	41,50424
85,4000	41,38252
85,5000	41,44334
85,6000	41,38252
85,7000	41,50424
85,8000	41,38252
85,9000	41,38252
86,0000	41,38252
86,1000	41,38252
86,2000	41,38252
86,3000	41,38252
86,4000	41,26114
86,5000	41,32179
86,6000	41,26114
86,7000	41,32179
86,8000	41,26114
86,9000	41,26114
87,0000	41,14011
87,1000	41,14011
87,2000	41,14011
87,3000	41,26114
87,4000	41,14011
87,5000	41,14011
87,6000	41,14011
87,7000	41,07972
87,8000	41,14011
87,9000	41,14011
88,0000	41,14011
88,1000	41,14011
88,2000	41,01941
88,3000	41,07972
88,4000	41,01941
88,5000	40,95919
88,6000	41,01941
88,7000	41,01941
88,8000	40,89905
88,9000	41,01941
89,0000	40,89905
89,1000	40,95919
89,2000	40,89905
89,3000	40,89905
89,4000	40,89905
89,5000	40,89905
89,6000	40,89905
89,7000	40,83899
89,8000	40,83899
89,9000	40,83899
90,0000	40,77901
90,1000	40,77901
90,2000	40,71912
90,3000	40,77901
90,4000	40,77901
90,5000	40,77901
90,6000	40,65931
90,7000	40,65931
90,8000	40,65931
90,9000	40,65931
91,0000	40,65931
91,1000	40,65931
91,2000	40,65931
91,3000	40,65931
91,4000	40,53994
91,5000	40,59959
91,6000	40,53994
91,7000	40,59959
91,8000	40,53994
91,9000	40,59959
92,0000	40,42089
92,1000	40,53994
92,2000	40,42089
92,3000	40,53994
92,4000	40,42089
92,5000	40,48038
92,6000	40,42089
92,7000	40,42089
92,8000	40,42089
92,9000	40,42089
93,0000	40,42089
93,1000	40,36149
93,2000	40,30216
93,3000	40,36149
93,4000	40,30216
93,5000	40,36149
93,6000	40,18375
93,7000	40,30216
93,8000	40,18375
93,9000	40,18375
94,0000	40,18375
94,1000	40,18375
94,2000	40,18375
94,3000	40,18375
94,4000	40,18375
94,5000	40,18375
94,6000	40,18375
94,7000	40,18375
94,8000	40,06566
94,9000	40,12467
95,0000	40,06566
95,1000	40,06566
95,2000	40,06566
95,3000	40,06566
95,4000	40,06566
95,5000	40,06566
95,6000	39,94788
95,7000	40,00673
95,8000	39,94788
95,9000	40,06566
96,0000	39,94788
96,1000	39,94788
96,2000	39,94788
96,3000	39,94788
96,4000	39,94788
96,5000	39,94788
96,6000	39,88911
96,7000	39,88911
96,8000	39,83042
96,9000	39,83042
97,0000	39,83042
97,1000	39,83042
97,2000	39,83042
97,3000	39,83042
97,4000	39,77180
97,5000	39,77180
97,6000	39,71326
97,7000	39,77180
97,8000	39,71326
97,9000	39,71326
98,0000	39,71326
98,1000	39,71326
98,2000	39,71326
98,3000	39,65479
98,4000	39,59641
98,5000	39,65479
98,6000	39,59641
98,7000	39,71326
98,8000	39,59641
98,9000	39,59641
99,0000	39,59641
99,1000	39,59641
99,2000	39,47986
99,3000	39,59641
99,4000	39,47986
99,5000	39,53809
99,6000	39,47986
99,7000	39,53809
99,8000	39,47986
99,9000	39,47986
100,0000	39,47986
100,1000	39,47986
100,2000	39,36361
100,3000	39,47986
100,4000	39,36361
100,5000	39,42170
100,6000	39,36361
100,7000	39,36361
100,8000	39,36361
100,9000	39,36361
101,0000	39,30560
101,1000	39,36361
101,2000	39,24766
101,3000	39,24766
101,4000	39,24766
101,5000	39,24766
101,6000	39,24766
101,7000	39,24766
101,8000	39,24766
101,9000	39,24766
102,0000	39,24766
102,1000	39,18980
102,2000	39,13201
102,3000	39,18980
102,4000	39,13201
102,5000	39,13201
102,6000	39,13201
102,7000	39,18980
102,8000	39,13201
102,9000	39,13201
103,0000	39,01665
103,1000	39,13201
103,2000	39,01665
103,3000	39,01665
103,4000	39,01665
103,5000	39,01665
103,6000	39,01665
103,7000	39,01665
103,8000	39,01665
103,9000	39,01665
104,0000	38,95908
104,1000	39,01665
104,2000	38,90158
104,3000	38,95908
104,4000	38,90158
104,5000	38,95908
104,6000	38,90158
104,7000	38,90158
104,8000	38,90158
104,9000	38,90158
105,0000	38,90158
105,1000	38,90158
105,2000	38,84416
105,3000	38,84416
105,4000	38,78681
105,5000	38,84416
105,6000	38,78681
105,7000	38,78681
105,8000	38,78681
105,9000	38,78681
106,0000	38,72953
106,1000	38,78681
106,2000	38,78681
106,3000	38,72953
106,4000	38,67232
106,5000	38,72953
106,6000	38,67232
106,7000	38,72953
106,8000	38,67232
106,9000	38,67232
107,0000	38,67232
107,1000	38,72953
107,2000	38,55811
107,3000	38,55811
107,4000	38,55811
107,5000	38,55811
107,6000	38,55811
107,7000	38,55811
107,8000	38,55811
107,9000	38,55811
108,0000	38,55811
108,1000	38,55811
108,2000	38,55811
108,3000	38,50111
108,4000	38,44419
108,5000	38,55811
108,6000	38,44419
108,7000	38,50111
108,8000	38,44419
108,9000	38,50111
109,0000	38,33054
109,1000	38,44419
109,2000	38,33054
109,3000	38,44419
109,4000	38,33054
109,5000	38,33054
109,6000	38,33054
109,7000	38,33054
109,8000	38,33054
109,9000	38,33054
110,0000	38,33054
110,1000	38,33054
110,2000	38,21718
110,3000	38,33054
110,4000	38,21718
110,5000	38,33054
110,6000	38,21718
110,7000	38,27383
110,8000	38,21718
110,9000	38,27383
111,0000	38,10409
111,1000	38,21718
111,2000	38,10409
111,3000	38,21718
111,4000	38,10409
111,5000	38,16060
111,6000	38,10409
111,7000	38,10409
111,8000	38,10409
111,9000	38,10409
112,0000	38,10409
112,1000	38,10409
112,2000	38,04765
112,3000	38,10409
112,4000	38,10409
112,5000	38,10409
112,6000	37,99127
112,7000	38,04765
112,8000	37,99127
112,9000	38,04765
113,0000	37,99127
113,1000	38,04765
113,2000	37,99127
113,3000	37,99127
113,4000	37,99127
113,5000	37,99127
113,6000	37,87873
113,7000	37,99127
113,8000	37,87873
113,9000	37,93497
114,0000	37,87873
114,1000	37,87873
114,2000	37,87873
114,3000	37,87873
114,4000	37,87873
114,5000	37,87873
114,6000	37,82256
114,7000	37,82256
114,8000	37,76645
114,9000	37,82256
115,0000	37,76645
115,1000	37,82256
115,2000	37,76645
115,3000	37,76645
115,4000	37,76645
115,5000	37,76645
115,6000	37,65444
115,7000	37,76645
115,8000	37,65444
115,9000	37,65444
116,0000	37,65444
116,1000	37,76645
116,2000	37,65444
116,3000	37,65444
116,4000	37,65444
116,5000	37,65444
116,6000	37,65444
116,7000	37,65444
116,8000	37,54270
116,9000	37,65444
117,0000	37,54270
117,1000	37,59854
117,2000	37,54270
117,3000	37,43122
117,4000	37,43122
117,5000	37,54270
117,6000	37,43122
117,7000	37,43122
117,8000	37,43122
117,9000	37,43122
118,0000	37,43122
118,1000	37,43122
118,2000	37,43122
118,3000	37,43122
118,4000	37,43122
118,5000	37,43122
118,6000	37,31999
118,7000	37,37557
118,8000	37,31999
118,9000	37,37557
119,0000	37,31999
119,1000	37,37557
119,2000	37,31999
119,3000	37,31999
119,4000	37,20903
119,5000	37,31999
119,6000	37,20903
119,7000	37,31999
119,8000	37,20903
119,9000	37,26448
120,0000	37,20903
120,1000	37,26448
120,2000	37,09833
120,3000	37,20903
120,4000	37,20903
120,5000	37,20903
120,6000	37,09833
120,7000	37,20903
120,8000	37,09833
120,9000	37,15365
121,0000	37,09833
121,1000	37,15365
121,2000	37,09833
121,3000	37,09833
121,4000	37,09833
121,5000	37,09833
121,6000	37,04307
121,7000	37,04307
121,8000	37,04307
121,9000	36,98787
122,0000	36,98787
122,1000	36,98787
122,2000	36,98787
122,3000	36,98787
122,4000	36,93274
122,5000	36,98787
122,6000	36,87768
122,7000	36,93274
122,8000	36,87768
122,9000	36,87768
123,0000	36,76773
123,1000	36,87768
123,2000	36,76773
123,3000	36,76773
123,4000	36,76773
123,5000	36,82267
123,6000	36,76773
123,7000	36,76773
123,8000	36,76773
123,9000	36,76773
124,0000	36,76773
124,1000	36,76773
124,2000	36,76773
124,3000	36,71285
124,4000	36,65803
124,5000	36,76773
124,6000	36,65803
124,7000	36,65803
124,8000	36,65803
124,9000	36,65803
125,0000	36,54857
125,1000	36,54857
125,2000	36,54857
125,3000	36,54857
125,4000	36,54857
125,5000	36,54857
125,6000	36,54857
